x,y,z,ESP
24.383,18.181,13.1,39.129920757890844
24.301,18.702,12.746,38.91271303580255
20.721,17.838,12.936,38.35432636426995
20.677,18.054,12.348,38.751086493843204
20.845,27.965,13.1,39.130066446277425
20.927,27.444,12.746,38.91297470171687
24.507,28.308,12.936,38.35434372987106
24.551,28.092,12.348,38.75110386850484
23.775,27.714,18.144,38.905677695655356
21.326,28.22,18.44,37.80151799249528
21.453,18.432,18.144,38.905675833369116
23.902,17.926,18.44,37.80151811499641
23.818,18.264,12.617,38.48225158279508
21.242,17.589,12.222,38.21806988361085
21.41,27.882,12.617,38.48250037113233
23.986,28.557,12.222,38.218094264771075
23.7,27.703,17.534,39.1742710554447
21.173,29.216,18.221,37.51611655286337
21.528,18.443,17.534,39.17426777211152
24.055,16.93,18.221,37.51611801313805
23.784,18.087,13.164,38.59008892445256
21.256,17.286,12.8,37.84517081707239
21.444,28.059,13.164,38.59021488830395
23.972,28.86,12.8,37.84519360040795
22.614,28.365,18.258,38.14552419242571
23.192,28.09,17.607,38.71718946105264
21.9,29.276,18.122,37.796200057473655
22.614,17.781,18.258,38.14552316649603
22.036,18.056,17.607,38.7171864045901
23.328,16.87,18.122,37.79620080349129
22.632,16.777,12.041,37.38774935732418
23.286,17.234,12.896,37.61435089907578
21.845,16.549,12.606,37.07140890543084
22.596,29.369,12.041,37.38780153191947
21.942,28.912,12.896,37.61443171126206
23.383,29.597,12.606,37.071434247303955
23.183,27.763,18.045,38.55854870132116
21.992,28.197,18.287,38.100768740265835
22.045,18.383,18.045,38.55854615577468
23.236,17.949,18.287,38.10076767051309
23.236,17.949,12.572,38.24219412461353
21.929,17.428,12.281,38.09046647183308
21.992,28.197,12.572,38.242344502950615
23.299,28.718,12.281,38.09050726886742
24.192,27.912,16.496,39.45616968474012
20.55,29.401,16.824,38.14471458052001
21.036,18.234,16.496,39.45616474797795
24.678,16.745,16.824,38.14471064467401
24.405,17.583,14.22,38.852663322219236
20.884,17.769,14.261,38.41977074388764
20.823,28.563,14.22,38.85269908008827
