x,y,z,ESP,MHP
-1.804,14.195,6.946,-17.068402425779908,0.049094915989125146
-6.986,15.252,7.095,-16.3148178465093,0.07669598431926156
-7.763,21.135,6.967,-15.769788970661441,0.08867894388781217
-2.581,20.381,7.074,-16.382288208132636,0.06916615448841221
-2.597,20.817,8.271,-16.421282451396042,0.0703851654872834
-2.683,20.837,7.851,-16.279246132742024,0.07056614841526238
-7.446,21.29,8.398,-15.54310782221372,0.062044600593321175
-7.64,21.734,7.968,-14.861306693041637,0.08197466516222116
-6.811,15.059,8.165,-16.461944754882804,0.08653799770635895
-6.729,15.052,7.798,-16.491999401879816,0.07773431742231264
-2.25,14.192,8.398,-17.295989332552868,0.057059624226685646
-2.17,13.911,7.947,-17.48301247313857,0.052014770871353394
-2.135,14.034,6.454,-17.440963344396295,0.04296751050842054
-1.735,13.255,6.864,-17.868994522759202,0.061799185757674444
-6.927,14.902,6.686,-16.198052976478078,0.08686940329375917
-6.843,14.889,7.075,-16.429254146931882,0.08046163455198077
-7.446,21.29,6.496,-15.583977245549619,0.08652366657658017
-7.64,21.734,6.926,-14.86083043120798,0.10774761174796503
-2.828,20.501,6.707,-16.355288014308876,0.0708477163103148
-2.854,20.593,7.075,-16.317920921601143,0.0684433598606623
-2.904,20.651,7.447,-16.254915936994554,0.06559482311827869
-7.626,21.898,7.447,-14.504618635131202,0.10107665891920826
-6.626,15.08,7.447,-16.438601851131487,0.07144160803407239
-1.804,13.171,7.445,-17.929037776380497,0.06799812778080476
-3.304,21.299,7.857,-15.937246718096858,0.06488549959180775
-3.151,20.916,7.447,-16.129668556197714,0.06614949279410667
-6.788,22.211,7.962,-13.44536550576835,0.05994206860040362
-7.205,22.151,7.447,-13.814848060691086,0.08352130277582867
-6.353,14.274,7.846,-16.85815799555072,0.07319226318570807
-6.451,14.742,7.447,-16.577445788442414,0.07119949086864097
-2.636,12.753,8.061,-18.1741652166859,0.07324492551023269
-2.189,12.937,7.469,-18.046603376770783,0.06704380781034824
-2.593,12.769,6.86,-18.17949026659422,0.059528680784786805
-6.353,14.274,7.048,-16.743951562971084,0.0715446780812824
-6.788,22.211,6.932,-13.758872358930342,0.06959204272657928
-3.384,21.116,7.058,-16.088036977198342,0.06805925938196447
-3.008,21.041,7.847,-16.128986433906714,0.06800428701935629
-7.222,21.997,7.963,-14.115669424916709,0.07005537210998639
-6.495,14.788,7.805,-16.582947382713854,0.07470885190905946
-2.572,13.659,7.942,-17.598114218126945,0.05222229338753202
-2.118,13.013,6.863,-18.095621541587025,0.059977789234097995
-6.495,14.788,7.089,-16.48379981223159,0.07107423478246992
-7.588,22.654,6.851,-12.94006208226314,0.1343242625958624
-3.153,20.781,7.078,-16.212194453218235,0.06591335099612186
-3.311,21.124,8.241,-16.110824891869903,0.0570445168744139
-6.831,22.103,8.47,-13.675410503784054,0.050236432734223464
-6.386,14.358,8.241,-16.80385311579265,0.0773283390382581
-2.947,13.556,8.429,-17.624345349399952,0.05764632189220423
-2.947,13.556,6.465,-17.76482364521475,0.0458064861251415
-6.467,14.18,6.612,-16.70523369389779,0.07475656790587343
-6.831,22.103,6.424,-14.187198107401786,0.06539551037526603
-3.351,21.035,6.674,-16.257690166871114,0.06776826928378514
-3.175,21.089,9.121,-16.761409962994676,0.05868843448074446
-2.96,20.817,8.634,-16.49009148353138,0.06422475853468367
-3.213,21.174,8.688,-16.458872128171485,0.05523956435734136
-6.645,21.333,9.243,-15.197665862568108,0.044361405290440345
-7.035,21.303,8.822,-15.441503094982949,0.04695939227473403
-6.769,21.775,8.905,-14.25799759808288,0.04053218133125399
-6.318,14.802,8.917,-16.196139691222047,0.09184412848863993
-6.489,15.07,8.478,-16.29779780841106,0.08442732402856645
-6.32,14.651,8.564,-16.492259726898723,0.0818707590513533
-3.052,14.148,9.243,-17.002961027411445,0.07327308243816896
-2.661,14.179,8.822,-17.15210625385133,0.06536101866174748
-2.927,13.707,8.905,-17.47978183808442,0.0653812209585379
-2.93,13.903,5.528,-17.76012756383939,0.05313956221811615
-2.512,13.936,5.978,-17.78854657030929,0.043922077871282966
-2.927,13.707,5.989,-17.816767084145678,0.04763116775983654
-6.645,14.148,5.651,-16.386131375508164,0.07347874154823207
